GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logstash-filter-azure-postgresql-guardium,com.ibm.guardium.azurepostgresql,Parser,34,329,10,16,9,93,10,11,0,8
logstash-filter-azure-postgresql-guardium,com.ibm.guardium.azurepostgresql,AzurePostgresqlGuardiumPluginFilter,35,76,0,2,8,20,2,4,2,3
