GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logstash-filter-aurora-mysql-guardium,com.ibm.guardium.auroramysql,AuroraMysqlGuardiumPluginFilter,59,213,13,15,12,47,15,5,2,4
logstash-filter-aurora-mysql-guardium,com.ibm.guardium.auroramysql,Parser,91,358,21,29,16,80,20,15,0,10
